name,lat,lon,LMV,MAV
Thakurtola (End of Durg Bypass),21.117914,81.122298,?100-130,?300-400
Bankapur,14.90999,75.2798,?70-90,?250-350
Hirebagewadi,15.76311,74.64785,?80-110,?350-450
Durg Bypass (Dhamdanaka),21.214518,81.287962,?120-150,?400-500
Hattargi,16.1433,74.51696,?80-100,?200-300
Kognoli,16.5422,74.31825,?100-120,?500-600
Tundla,27.218247,78.272821,?130-160,?200-250
Brahamarakotlu,12.875095,75.003849,?70-90,?220-300
Cable Stayed Naini Bridge,25.41629,81.861017,?150-180,?250-350
Bassi,25.033921,74.817676,?60-80,?300-400
Aroli,25.09118,75.199063,?70-90,?280-380
Dhaneshwar,25.072621,75.598467,?80-110,?150-220
Fatehpur,25.122,76.572806,?90-120,?180-250
Simliya,25.170089,76.130552,?80-110,?200-300
Omallur,11.72034,78.07338,?50-70,?180-250
Nathakkarai,11.592809,78.780812,?60-80,?150-200
Veeracholapuram (West),11.736464,79.010409,?60-80,?180-250
Palayam (Dharmapuri),12.00643,78.08042,?100-147,?350-450
Rasampalayan,11.193895,78.103219,?50-70,?450-550
Nemili (Sriperumbudur),12.982155,79.968944,?60-80,?150-220
Joya,28.836176,78.420749,?140-180,?120-180
"Khalghat -MP/Maharashtra Border(Sendhwa, Jamli)",21.75667,75.156824,?100-151,?200-300
Boothakudi,10.64127,78.581277,?50-70,?150-220
Chittampatti,9.989594,78.244086,?40-60,?120-180
Banglore - Neelamangla,13.090749,77.400004,?65-85,?200-300
Chalageri,14.556778,75.728025,?75-95,?220-320
Choundha,26.467309,78.010916,?110-140,?350-450
Brijghat,28.767149,78.110043,?120-150,?400-500
Usaka ( Chamari),26.036608,79.577976,?100-130,?300-400
Indore Dewas  (Indore Bypass),22.822692,75.938208,?90-120,?280-380
Siwaya,29.095601,77.710995,?110-140,?350-450
Daffi,25.248275,82.994017,?80-110,?250-350
Mohania,25.19093,83.559544,?90-120,?300-400
Sasaram,24.957125,83.954997,?85-110,?280-380
Anantram,26.594931,79.268034,?95-125,?320-420
Tendua (Gorakhpur Bypass),26.724015,83.274398,?100-130,?350-450
Barajore (Bara),26.386389,80.021485,?90-120,?300-400
Bharudi,21.805381,70.663976,?70-90,?220-320
Pithadiya,22.082642,70.781004,?75-95,?240-340
Choryasi,21.303367,72.95418,?80-110,?250-350
Anewadi,17.810312,73.971381,?85-110,?280-380
Mettupatti,11.66167,78.330768,?50-70,?150-220
Doddakarenahalli (Neelmangala ),13.068175,77.3605999,?65-85,?200-300
Thirumandurai,11.396808,78.99356,?55-75,?160-230
Paduna,24.271438,73.67379,?70-90,?220-320
Patas,18.424491,74.466193,?80-110,?250-350
Thandikhui,32.607394,74.944346,?120-150,?400-500
Daroda,20.450467,78.755153,?85-110,?280-380
Samakhiyali,23.308555,70.49059,?75-95,?240-340
Kelapur,20.019307,78.54022,?80-110,?250-350
Nandgaon Peth,20.951008,77.788359,?85-110,?280-380
Mundiyar,25.208647,77.136059,?90-120,?300-400
Raksha,25.461841,78.451052,?95-125,?320-420
Ramnagar,25.278913,77.614165,?90-120,?300-400
Athur (Tindivanam),12.346862,79.779856,?60-80,?180-250
Vanagaram (Chennai Bypass),13.043526,80.149598,?70-90,?220-320
Mandawnagar,26.810525,82.731283,?100-130,?350-450
Surapattu (Chennai Bypass II),13.136678,80.181624,?75-95,?240-340
Paranur (Chengalpet),12.723887,79.981917,?65-85,?200-300
Nallur,13.216958,80.169353,?70-90,?220-320
Allonia,22.269661,79.54517,?85-110,?280-380
Eliyarpathi,9.78299,78.094492,?45-65,?140-200
Pudurpandiyapuram,8.862935,78.117106,?40-60,?120-180
Guna Bypass,24.620413,77.26147,?80-110,?250-350
Malthone,24.322069,78.526217,?85-110,?280-380
Badarpur,28.476208,77.305485,?110-140,?350-450
Titarpani,23.233839,79.047247,?90-120,?300-400
Gurau (Semra Atikabad),26.996524,78.777334,?100-130,?350-450
Jajau (Old Baretha),26.931976,77.933397,?95-125,?320-420
Vaiguntham,11.513282,77.923946,?80-110,?250-350
Makhel,23.490457,70.942745,?90-120,?300-400
Vijaymangalmam,11.245714,77.519702,?70-90,?220-320
Bhiladi,24.143855,71.977168,?85-110,?280-380
Kumbalam,9.89525,76.313542,?60-80,?200-280
Varahi,23.791263,71.427652,?95-120,?320-420
Velanchettiyur,10.699008,77.932875,?75-95,?240-340
Krishnagiri,12.544583,78.201132,?85-110,?280-380
Vikravandi(Villupuram),12.024441,79.538059,?80-110,?250-350
Pallikonda,12.905829,78.951686,?90-120,?300-400
Morattandi,11.983278,79.78836,?75-95,?240-340
